sentiment,retweet
-2.516730196,0
2.579900293,0
0.569452015,0
0.061511078,0
-0.804970539,0
1.220408097,0
2.26034955,0
1.181949885,0
1.104859047,0
1.342061626,0
-0.048451285,0
0.660698804,0
0.180466645,0
2.247030069,0
1.946404961,0
-0.332963569,0
-0.346511773,0
1.645541396,0
0.034706657,1
0.460774314,0
-1.415418352,0
1.207327073,0
1.355761026,0
0.841992744,0
0.965328118,0
-0.164872404,0
-1.935856258,0
1.537622943,0
-2.566548514,0
-1.994720868,1
-0.286712804,0
1.504177142,0
-0.015748724,0
0.922517493,1
-1.790407723,1
0.574688236,1
1.618190163,2
0.869400605,0
0.105250753,0
1.71530686,0
2.754812279,0
-1.975358876,0
0.91300402,0
1.340753523,0
0.489178824,0
1.0998758,0
0.806147339,0
-1.570428493,0
-0.88074563,0
-0.994508974,0
1.741468909,0
-0.132730458,0
0.62262014,0
0.102466982,0
1.837396423,0
0.319997573,0
0.063227962,0
-3.392978576,1
2.848995655,0
1.593217297,0
2.927481803,0
0.570281177,0
2.133106857,0
0.135617418,0
2.420889397,1
-0.072094142,0
0.298195866,0
-1.056210445,1
-0.26044083,5
-1.143095204,0
0.605718861,0
1.212995517,0
0.541146167,0
-0.268648532,0
0.039191579,0
3.144790323,0
0.99803068,0
2.001345264,0
-0.782772437,0
2.91796833,1
0.343252728,0
-0.798975069,1
0.730117423,1
-0.788421061,4
0.817572,0
1.436245003,0
-1.575304148,0
-0.975420253,1
2.325754673,0
-0.338054764,0
-0.450395494,1
0.78593121,0
1.423163978,0
-2.292016881,0
-0.385584964,0
-0.105271986,0
-1.172973454,1
0.860679922,0
-1.83214242,0
-1.132774786,0
0.622843112,2
-0.775454381,0
-0.198425689,0
-0.555340987,0
0.799635141,0
-0.449800902,1
2.848995655,0
-0.539275854,1
-3.828867384,0
-6.333883588,0
-1.73174131,0
-3.021768168,0
-2.151693163,0
0.300362823,0
-0.196702897,0
0.771837963,2
-2.630645534,14
1.228038695,0
-1.313485636,0
-2.51048698,0
-1.001185907,0
-1.836023603,1
1.531899995,0
-0.692691745,0
1.318515782,0
0.07418332,0
-3.214059229,0
-0.368936387,0
-2.151693163,1
2.848995655,0
2.848995655,0
1.254745787,0
-1.220662919,0
1.327859371,0
0.645104637,1
-2.572750566,0
-0.005937955,0
1.526257088,1
-1.730935501,0
0.40471278,0
-3.453441979,0
-2.042217446,2
-1.792420188,1
-0.279106539,0
1.185593496,0
-1.118579718,1
-0.759821185,0
1.260657404,0
-1.663830406,3
1.858108045,0
0.202891258,0
0.567511077,0
-0.886132351,1
-1.785968102,0
-0.299666416,0
1.224903213,0
3.15509163,0
0.495657046,0
-1.635833616,0
-2.668580505,0
0.090768191,0
-1.442769585,0
0.559816357,0
0.706614903,0
1.189885707,0
1.044059535,0
0.293390591,0
2.165044943,0
-1.807849089,0
1.45210079,0
0.621951224,0
0.440897952,0
1.259651171,0
0.60952425,0
3.712343277,0
0.494411234,0
0.228373774,0
-0.47685484,0
-0.176879447,1
-2.19826736,0
1.004571192,0
-1.598552696,0
1.753459848,0
0.749491213,0
1.932491507,0
-1.17995991,0
-1.249725374,0
1.293988861,0
0.574803205,0
-0.564379929,0
-1.74734935,0
2.613537213,0
0.171496799,0
1.593217297,0
0.125526342,0
0.04031281,0
0.272033817,0
2.705104385,0
-1.770474733,0
-3.066897703,0
0.903966221,0
0.612140455,0
1.011706296,1
-2.039570095,0
0.494411234,0
-2.295738873,0
-0.269226945,1
-1.308649327,0
-0.234577308,0
-1.830086831,0
1.055026573,0
-0.685333669,0
1.032404705,6
0.776961365,1
-0.316612289,0
2.495807992,0
2.240133421,0
-0.844758655,1
1.789432666,0
-0.124694971,0
-0.47231612,0
-0.872555833,0
-0.72212405,2
-1.184716646,0
-2.353514685,0
-1.03606864,0
-0.525908682,0
2.848995655,0
-0.210538596,1
0.946776847,0
0.779524178,0
-0.194559607,0
-1.791497808,0
-0.571524562,0
-2.136913304,0
2.268198165,0
-1.556039366,0
-0.732469951,0
-1.896364022,0
-2.9851413,0
0.128142546,2
-0.595985599,1
3.037362409,0
0.389814003,0
-1.678329957,0
-0.732281081,5
-1.058493253,2
-0.185802043,0
-1.058453281,0
-2.035165261,0
-1.394104515,0
-2.475932689,1
-1.050893801,0
0.823418822,0
-1.174400474,5
-0.285455667,0
0.853412686,1
-1.310770155,0
-0.407733517,0
2.378078771,0
1.656987292,0
-0.299436335,1
0.494411234,0
-3.024796947,0
1.750189592,0
0.581269237,1
-1.118278376,0
1.075412585,0
0.965328118,0
-0.637866863,0
-1.649785777,2
-2.720016962,1
0.08235896,1
-0.262419473,0
-0.381199847,0
-2.384822414,2
-0.604394829,0
0.258952792,1
3.496506371,0
2.176257249,0
-0.532994237,1
-2.802006956,0
-2.600291284,4
0.912260199,13
0.61927556,0
-0.100774322,1
-1.00826403,0
-0.913582682,0
-0.945373536,27
-0.443739866,19
-0.370720163,2
-0.66833096,0
-0.257450382,1
0.226844823,0
-1.03175589,1
0.519733859,3
1.812354188,0
1.210080973,2
-1.76998679,0
0.153962284,1
0.973090485,0
0.003516058,1
1.613449282,0
2.472916199,0
-0.804886342,1
-0.926188033,1
-0.477746728,0
0.19444231,1
-0.352601458,0
0.581528605,1
0.63072928,1
0.082481595,2
-0.591599209,0
-1.703903592,0
-1.208263977,0
0.757770532,2
1.783741571,0
-2.010180261,0
0.638302504,0
-0.774235672,0
1.79848876,1
-0.276150884,3
0.92346884,1
0.252612279,1
-2.39807432,13
1.1701226,0
-0.233526221,0
-2.268795122,0
-1.064221881,0
-0.485094186,0
1.661892676,0
-0.514016841,0
-2.047881316,3
-0.203900152,1
-0.653151375,2
0.021908771,0
-0.807388547,0
-1.389832901,0
-1.726008833,3
-1.77666604,1
-0.686151233,0
-0.29045024,0
-1.378841554,0
-1.972101389,3
0.324721277,1
0.388517226,0
-0.074324728,0
0.222069211,1
-0.502575833,9
-2.950076297,5
-0.355457244,1
-1.696286637,0
-0.270828703,0
-1.523134606,4
-1.647606538,0
0.249298056,1
-0.455886727,3
-0.198645231,6
1.001768115,6
-1.003762473,1
-0.719349287,2
-0.336858147,4
-1.038894208,4
-1.346915092,1
0.653797289,1
0.731186926,0
2.017917611,0
0.035230478,9
-2.828416751,5
-1.004223543,0
-0.735070447,1
-1.336147343,3
-1.04960291,3
1.209886404,10
-0.670230249,0
-1.027513544,0
-0.16087967,1
-0.65670163,8
-0.761367124,0
-0.685037189,0
-1.640530893,0
-0.714522599,2
-1.508603224,0
-2.47725224,2
1.043398995,0
0.084814884,1
-0.309532184,1
0.635876185,2
0.543643454,0
-3.113414619,0
-0.032152668,1
-1.346743782,4
-1.036897084,2
-1.29565544,0
-0.053727507,1
0.159883268,1
-0.295314956,2
-0.372673823,4
0.280007013,0
-0.807745302,0
1.754470655,1
-0.32265375,1
-0.799330532,1
0.574818371,0
-0.781479199,0
-0.386836736,0
-1.061646359,1
-2.505503732,0
-2.064506557,0
-1.942583642,0
-0.370026472,0
-0.151130809,1
0.908527238,2
1.160847513,9
-1.079592776,4
0.554128955,3
